Species	Tissue	Cell type	Cell marker	Marker grade
Arabidopsis thaliana	Root	Atrichoblast	AT2G47130	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G47270	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G47320	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G47485	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G47550	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G01190	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G01220	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G01290	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G01470	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G01500	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G02170	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G02240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G02910	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G03280	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G03290	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G04060	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G04320	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G04530	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G04910	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G04940	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G05890	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G05920	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G07000	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G07010	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G07390	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G07460	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G07470	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G07570	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G08030	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G09260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G09280	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G09940	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G10720	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G10815	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G11700	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G11900	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G12610	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G12710	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G13310	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G13435	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G13790	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G14370	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G14940	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G15115	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G15370	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G15540	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G16280	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G17810	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G17890	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G18060	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G18200	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G18710	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G18780	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G18820	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G19010	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G19580	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G19680	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G19800	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G20960	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G21680	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G23030	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G23470	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G23690	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G23810	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G23820	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G24210	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G24750	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G25110	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G25250	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G25290	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G25600	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G25655	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G26100	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G26520	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G27355	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G27880	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G28180	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G28910	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G28940	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G29250	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G29360	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G43430	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G43720	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G43800	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G43810	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G45650	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G45660	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G46270	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G46280	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G46690	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G46720	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G47220	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G47380	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G48100	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G48260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G49220	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G49570	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G49630	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G50630	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G50640	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G51460	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G51920	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G52470	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G52500	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G52990	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G53480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G53990	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G54200	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G54770	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G55150	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G55360	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G55470	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G55950	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G56060	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G56760	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G56880	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G57330	Marker #2
